Generation 0:
Agg: 0.49995000499950004, Lines: 4.999500049995001e-05, Holes: 0.49995000499950004, Bump: -4.999500049995001e-05, Multi: 0.0, Fitness: 0
Agg: 0.3333222225925802, Lines: 0.3333222225925802, Holes: -3.333222225925802e-05, Bump: 0.3333222225925802, Multi: 0.0, Fitness: 0
Agg: 0.3333222225925802, Lines: 0.3333222225925802, Holes: -0.3333222225925802, Bump: -3.333222225925802e-05, Multi: 0.0, Fitness: 0
Agg: -0.3333222225925802, Lines: -0.3333222225925802, Holes: 0.3333222225925802, Bump: -3.333222225925802e-05, Multi: 0.0, Fitness: 0
Agg: 0.33332222259258026, Lines: 3.333222225925803e-05, Holes: 0.33332222259258026, Bump: -0.33332222259258026, Multi: 0.0, Fitness: 20
Agg: -0.3333222225925802, Lines: 0.3333222225925802, Holes: 0.3333222225925802, Bump: -3.333222225925802e-05, Multi: 0.0, Fitness: 100
Agg: 0.33332222259258026, Lines: 3.333222225925803e-05, Holes: 0.33332222259258026, Bump: 0.33332222259258026, Multi: 0.0, Fitness: 10
Agg: -0.3333222225925802, Lines: -0.3333222225925802, Holes: -3.333222225925802e-05, Bump: 0.3333222225925802, Multi: 0.0, Fitness: 20
Agg: -9.997000899730082e-05, Lines: 9.997000899730082e-05, Holes: -9.997000899730082e-05, Bump: -0.9997000899730081, Multi: 0.0, Fitness: 0
Agg: -0.3333222225925802, Lines: 0.3333222225925802, Holes: -3.333222225925802e-05, Bump: -0.3333222225925802, Multi: 0.0, Fitness: 260
Agg: -0.49995000499950004, Lines: 4.999500049995001e-05, Holes: -4.999500049995001e-05, Bump: -0.49995000499950004, Multi: 0.0, Fitness: 280
Agg: -0.33332222259258026, Lines: 3.333222225925803e-05, Holes: 0.33332222259258026, Bump: 0.33332222259258026, Multi: 0.0, Fitness: 20
Agg: -4.999500049995001e-05, Lines: -0.49995000499950004, Holes: -0.49995000499950004, Bump: -4.999500049995001e-05, Multi: 0.0, Fitness: 0
Agg: 0.25, Lines: -0.25, Holes: -0.25, Bump: -0.25, Multi: 0.0, Fitness: 0
Agg: 0.49995000499949993, Lines: -0.49995000499949993, Holes: -4.9995000499949994e-05, Bump: -4.9995000499949994e-05, Multi: 0.0, Fitness: 0

Best from Generation 0
Agg: -0.3333222225925802, Lines: 0.3333222225925802, Holes: -3.333222225925802e-05, Bump: -0.3333222225925802, Multi: 0.0, Fitness: 260
Agg: -0.49995000499950004, Lines: 4.999500049995001e-05, Holes: -4.999500049995001e-05, Bump: -0.49995000499950004, Multi: 0.0, Fitness: 280

Generation 1:
Agg: -0.3333222225925802, Lines: 0.3333222225925802, Holes: -3.333222225925802e-05, Bump: -0.3333222225925802, Multi: 0.0, Fitness: 280
Agg: -0.49995000499950004, Lines: 4.999500049995001e-05, Holes: -4.999500049995001e-05, Bump: -0.49995000499950004, Multi: 0.0, Fitness: 260
Agg: -0.43341470699701795, Lines: 0.20760870796443526, Holes: -4.1901910498399783e-05, Bump: -0.3589346831280484, Multi: 0.0, Fitness: 180
Agg: -0.3898052802274964, Lines: 0.17815548654891103, Holes: -4.1865520296236386e-05, Bump: -0.4319973677032965, Multi: 0.0, Fitness: 180
Agg: -0.40082003322789234, Lines: 0.22397670974357886, Holes: -3.838126890359039e-05, Bump: -0.37516487575962526, Multi: 0.0, Fitness: 230
Agg: -0.3940531965564837, Lines: 0.1460694092940376, Holes: -5.0550685128310024e-05, Bump: -0.4598268434643503, Multi: 0.0, Fitness: 80
Agg: -0.41660683363397044, Lines: 0.22782205221345084, Holes: -3.57783048531998e-05, Bump: -0.35553533584772556, Multi: 0.0, Fitness: 0
Agg: -0.42941522097757123, Lines: 0.013390684322260999, Holes: -4.928470927717154e-05, Bump: -0.5571448099908906, Multi: 0.0, Fitness: 90
Agg: -0.3927957765037937, Lines: 0.1821163108418784, Holes: -3.542991998464376e-05, Bump: -0.42505248273434326, Multi: 0.0, Fitness: 100
Agg: -0.3982423410590263, Lines: 0.19015669397273138, Holes: -3.7216734381711087e-05, Bump: -0.41156374823386055, Multi: 0.0, Fitness: 0
Agg: -0.3787889851089826, Lines: 0.20932090595964248, Holes: -3.83995445246412e-05, Bump: -0.4118517093868502, Multi: 0.0, Fitness: 90
Agg: -0.5193898547714926, Lines: 0.04381026290611192, Holes: -5.3496146287064104e-05, Bump: -0.4367463861761084, Multi: 0.0, Fitness: 70
Agg: -0.21157762970243865, Lines: 0.2437991145002554, Holes: -0.18306050580645833, Bump: -0.19886588040802045, Multi: 0.1626968695828271, Fitness: 310
Agg: -0.1613837790608272, Lines: 0.07732764435743514, Holes: -0.25066592679223154, Bump: -0.1651965777363254, Multi: 0.3454260720531807, Fitness: 0
Agg: -0.2988226436120462, Lines: 0.03453933844607237, Holes: -0.26036255641489897, Bump: -0.11842020390410707, Multi: 0.28785525762287534, Fitness: 630

Best from Generation 1
Agg: -0.21157762970243865, Lines: 0.2437991145002554, Holes: -0.18306050580645833, Bump: -0.19886588040802045, Multi: 0.1626968695828271, Fitness: 310
Agg: -0.2988226436120462, Lines: 0.03453933844607237, Holes: -0.26036255641489897, Bump: -0.11842020390410707, Multi: 0.28785525762287534, Fitness: 630

Generation 2:
Agg: -0.21157762970243865, Lines: 0.2437991145002554, Holes: -0.18306050580645833, Bump: -0.19886588040802045, Multi: 0.1626968695828271, Fitness: 540
Agg: -0.2988226436120462, Lines: 0.03453933844607237, Holes: -0.26036255641489897, Bump: -0.11842020390410707, Multi: 0.28785525762287534, Fitness: 1250
Agg: -0.24948388421657405, Lines: 0.18523412030617753, Holes: -0.20436518437582474, Bump: -0.16585348061599905, Multi: 0.19506333048542454, Fitness: 120
Agg: -0.24006793886446753, Lines: 0.08857348276961777, Holes: -0.24552312712957125, Bump: -0.13334188641897612, Multi: 0.29249356481736744, Fitness: 3220
Agg: -0.22204409152646448, Lines: 0.11080896415702188, Holes: -0.22005182623833214, Bump: -0.19579378744034495, Multi: 0.25130133063783655, Fitness: 0
Agg: -0.2570247334558994, Lines: 0.20937338660008453, Holes: -0.23027527489394028, Bump: -0.12729011346821945, Multi: 0.17603649158185636, Fitness: 0
Agg: -0.21766044152239813, Lines: 0.21382017041254378, Holes: -0.24970281827657753, Bump: -0.12805797638949862, Multi: 0.19075859339898188, Fitness: 1310
Agg: -0.294600324505488, Lines: 0.13413186881492575, Holes: -0.214519619232347, Bump: -0.16876584399587294, Multi: 0.18798234345136638, Fitness: 0
Agg: -0.21375086770797416, Lines: 0.15828992400218833, Holes: -0.2084235990417247, Bump: -0.1719340303353953, Multi: 0.24760157891271753, Fitness: 1110
Agg: -0.28582348318246664, Lines: 0.09708530713461057, Holes: -0.2217950874808271, Bump: -0.19107835742807588, Multi: 0.20421776477401982, Fitness: 0
Agg: -0.2730403151978774, Lines: 0.16516382764243084, Holes: -0.2236240596350363, Bump: -0.1321732337485546, Multi: 0.20599856377610093, Fitness: 1400
Agg: -0.285475131564477, Lines: 0.09415895330781966, Holes: -0.25193252188098697, Bump: -0.16197984964426798, Multi: 0.20645354360244844, Fitness: 1950
Agg: -0.026603862559749898, Lines: 0.2329056042980234, Holes: -0.036675077501474716, Bump: -0.259869412313582, Multi: 0.4439460433271699, Fitness: 100
Agg: -0.13415258464683028, Lines: 0.22869987084849192, Holes: -0.40247889495376454, Bump: -0.0664996314444796, Multi: 0.16816901810643378, Fitness: 3600
Agg: -0.2573257800099091, Lines: 0.1960016520763021, Holes: -0.14463955939300727, Bump: -0.21932850914369825, Multi: 0.18270449937708333, Fitness: 420

Best from Generation 2
Agg: -0.24006793886446753, Lines: 0.08857348276961777, Holes: -0.24552312712957125, Bump: -0.13334188641897612, Multi: 0.29249356481736744, Fitness: 3220
Agg: -0.13415258464683028, Lines: 0.22869987084849192, Holes: -0.40247889495376454, Bump: -0.0664996314444796, Multi: 0.16816901810643378, Fitness: 3600

Generation 3:
Agg: -0.24006793886446753, Lines: 0.08857348276961777, Holes: -0.24552312712957125, Bump: -0.13334188641897612, Multi: 0.29249356481736744, Fitness: 20
Agg: -0.13415258464683028, Lines: 0.22869987084849192, Holes: -0.40247889495376454, Bump: -0.0664996314444796, Multi: 0.16816901810643378, Fitness: 7730
Agg: -0.18277662032579606, Lines: 0.19431223661222827, Holes: -0.2818677934707488, Bump: -0.10207632336122141, Multi: 0.23896702623000543, Fitness: 5450
Agg: -0.1954796816591863, Lines: 0.13012915596929936, Holes: -0.30983231878252204, Bump: -0.10613097703421008, Multi: 0.2584278665547822, Fitness: 440
